hàm	ham˨˩
hâm	ham˧˥
hām	ham˧
hap	hap˩
ha̍p	hap˥
hat	hat˩
ha̍t	hat˥
--hau	hau˨
hau	hau˥
háu	hau˥˧
hàu	hau˨˩
hâu	hau˧˥
hāu	hau˧
--he	he˨
he	he˥
hé	he˥˧
hè	he˨˩
hê	he˧˥
hē	he˧
--henn	hẽ˨
henn	hẽ˥
hénn	hẽ˥˧
hènn	hẽ˨˩
hênn	hẽ˧˥
hēnn	hẽ˧
hioh	hɪəʔ˩
hio̍h	hɪəʔ˥
--hio	hɪə˨
hio	hɪə˥
hió	hɪə˥˧
hiò	hɪə˨˩
hiô	hɪə˧˥
hiō	hɪə˧
--ho	hə˨
ho	hə˥
hó	hə˥˧
hò	hə˨˩
hô	hə˧˥
hō	hə˧
--hian	hɪɛn˨
hian	hɪɛn˥
hián	hɪɛn˥˧
hiàn	hɪɛn˨˩
hiân	hɪɛn˧˥
hiān	hɪɛn˧
--hir	hɨ˨
hir	hɨ˥
hír	hɨ˥˧
hìr	hɨ˨˩
hîr	hɨ˧˥
hīr	hɨ˧
--hi	hi˨
hi	hi˥
hí	hi˥˧
hì	hi˨˩
hî	hi˧˥
hī	hi˧
--hinn	hĩ˨
hinn	hĩ˥
hínn	hĩ˥˧
hìnn	hĩ˨˩
hînn	hĩ˧˥
hīnn	hĩ˧
--him	him˨
him	him˥
hím	him˥˧
hìm	him˨˩
hîm	him˧˥
hīm	him˧
--hing	hiŋ˨
hing	hiŋ˥
híng	hiŋ˥˧
hìng	hiŋ˨˩
hîng	hiŋ˧˥
hīng	hiŋ˧
--hin	hin˨
hin	hin˥
hín	hin˥˧
hìn	hin˨˩
hîn	hin˧˥
hīn	hin˧
hip	hip˩
hi̍p	hip˥
hit	hit˩
hi̍t	hit˥
hiô	hiu˧˥
hiō	hiu˧
--hiu	hiu˨
hiu	hiu˥
hiú	hiu˥˧
hiù	hiu˨˩
--hiunn	hiũ˨
hiunn	hiũ˥
híúnn	hiũ˥˧
hìùnn	hiũ˨˩
hîûnn	hiũ˧˥
hīūnn	hiũ˧
hik	hɪk˩
hi̍k	hɪk˥
--hng	hŋ̍˨
hng	hŋ̍˥
hng	hŋ̍˥˧
hng	hŋ̍˨˩
hng	hŋ̍˧˥
hng	hŋ̍˧
--ho	ho˨
ho	ho˥
hó	ho˥˧
hò	ho˨˩
hô	ho˧˥
hō	ho˧
--hoo	hɔ˨
hoo	hɔ˥
hóo	hɔ˥˧
hòo	hɔ˨˩
hôo	hɔ˧˥
hōo	hɔ˧
--honn	hɔ̃˨
honn	hɔ̃˥
hónn	hɔ̃˥˧
hònn	hɔ̃˨˩
hônn	hɔ̃˧˥
hōnn	hɔ̃˧
hiok	hɪɔk˩
hio̍k	hɪɔk˥
hok	hɔk˩
ho̍k	hɔk˥
--hiong	hɪɔŋ˨
hiong	hɪɔŋ˥
hióng	hɪɔŋ˥˧
hiòng	hɪɔŋ˨˩
hiông	hɪɔŋ˧˥
hiōng	hɪɔŋ˧
--hong	hɔŋ˨
hong	hɔŋ˥
hóng	hɔŋ˥˧
hòng	hɔŋ˨˩
hông	hɔŋ˧˥
hōng	hɔŋ˧
--hua	hua˨
hua	hua˥
huá	hua˥˧
huà	hua˨˩
huâ	hua˧˥
huā	hua˧
--huai	huai˨
huai	huai˥
huái	huai˥˧
huài	huai˨˩
huâi	huai˧˥
huāi	huai˧
--huan	huan˨
huan	huan˥
huán	huan˥˧
huàn	huan˨˩
huân	huan˧˥
huān	huan˧
--hue	hue˨
hue	hue˥
hué	hue˥˧
huè	hue˨˩
huê	hue˧˥
huē	hue˧
--hu	hu˨
hu	hu˥
hú	hu˥˧
hù	hu˨˩
hû	hu˧˥
hū	hu˧
--siai	ɕiai˨
siai	ɕiai˥
siái	ɕiai˥˧
siài	ɕiai˨˩
siâi	ɕiai˧˥
siāi	ɕiai˧
--siainn	ɕiaĩ˨
siainn	ɕiaĩ˥
siáinn	ɕiaĩ˥˧
siàinn	ɕiaĩ˨˩
siâinn	ɕiaĩ˧˥
siāinn	ɕiaĩ˧
jiah	ʑiaʔ˩
jia̍h	ʑiaʔ˥
--jia	ʑia˨
jia	ʑia˥
jiá	ʑia˥˧
jià	ʑia˨˩
jiâ	ʑia˧˥
jiā	ʑia˧
--jiann	ʑiã˨
jiann	ʑiã˥
jiánn	ʑiã˥˧
jiànn	ʑiã˨˩
jiânn	ʑiã˧˥
jiānn	ʑiã˧
jiak	ʑiak˩
jia̍k	ʑiak˥
siak	ɕiak˩
sia̍k	ɕiak˥
--jiam	ʑiam˨
jiam	ʑiam˥
jiám	ʑiam˥˧
jiàm	ʑiam˨˩
jiâm	ʑiam˧˥
jiām	ʑiam˧
--siam	ɕiam˨
siam	ɕiam˥
siám	ɕiam˥˧
siàm	ɕiam˨˩
siâm	ɕiam˧˥
siām	ɕiam˧
jiap	ʑiap˩
jia̍p	ʑiap˥
siap	ɕiap˩
sia̍p	ɕiap˥
siah	ɕiaʔ˩
sia̍h	ɕiaʔ˥
--sia	ɕia˨
sia	ɕia˥
siá	ɕia˥˧
sià	ɕia˨˩
siâ	ɕia˧˥
siā	ɕia˧
--siann	ɕiã˨
siann	ɕiã˥
siánn	ɕiã˥˧
siànn	ɕiã˨˩
siânn	ɕiã˧˥
siānn	ɕiã˧
jiat	ʑiat˩
jia̍t	ʑiat˥
siat	ɕiat˩
sia̍t	ɕiat˥
--jie	ʑie˨
jie	ʑie˥
jié	ʑie˥˧
jiè	ʑie˨˩
jiê	ʑie˧˥
jiē	ʑie˧
--jienn	ʑiẽ˨
jienn	ʑiẽ˥
jiénn	ʑiẽ˥˧
jiènn	ʑiẽ˨˩
jiênn	ʑiẽ˧˥
jiēnn	ʑiẽ˧
--jio	ʑiə˨
jio	ʑiə˥
jió	ʑiə˥˧
jiò	ʑiə˨˩
jiô	ʑiə˧˥
jiō	ʑiə˧
--sie	ɕie˨
sie	ɕie˥
sié	ɕie˥˧
siè	ɕie˨˩
siê	ɕie˧˥
siē	ɕie˧
--sienn	ɕiẽ˨
sienn	ɕiẽ˥
siénn	ɕiẽ˥˧
siènn	ɕiẽ˨˩
siênn	ɕiẽ˧˥
siēnn	ɕiẽ˧
--sio	ɕiə˨
sio	ɕiə˥
sió	ɕiə˥˧
siò	ɕiə˨˩
siô	ɕiə˧˥
siō	ɕiə˧
--i	i˨
i	i˥
í	i˥˧
ì	i˨˩
î	i˧˥
ī	i˧
--inn	ĩ˨
inn	ĩ˥
ínn	ĩ˥˧
ìnn	ĩ˨˩
înn	ĩ˧˥
īnn	ĩ˧
--ir	ɨ˨
ir	ɨ˥
ír	ɨ˥˧
ìr	ɨ˨˩
îr	ɨ˧˥
īr	ɨ˧
--sinn	ɕiĩ˨
sinn	ɕiĩ˥
sínn	ɕiĩ˥˧
sìnn	ɕiĩ˨˩
sînn	ɕiĩ˧˥
sīnn	ɕiĩ˧
--siiunn	ɕiiũ˨
siiunn	ɕiiũ˥
sííúnn	ɕiiũ˥˧
sììùnn	ɕiiũ˨˩
sîîûnn	ɕiiũ˧˥
sīīūnn	ɕiiũ˧
--ji	ʑi˨
ji	ʑi˥
jí	ʑi˥˧
jì	ʑi˨˩
jî	ʑi˧˥
jī	ʑi˧
--im	im˨
im	im˥
ím	im˥˧
ìm	im˨˩
îm	im˧˥
īm	im˧
--jim	ʑim˨
jim	ʑim˥
jím	ʑim˥˧
jìm	ʑim˨˩
jîm	ʑim˧˥
jīm	ʑim˧
--sim	ɕim˨
sim	ɕim˥
sím	ɕim˥˧
sìm	ɕim˨˩
sîm	ɕim˧˥
sīm	ɕim˧
--ing	iŋ˨
ing	iŋ˥
íng	iŋ˥˧
ìng	iŋ˨˩
îng	iŋ˧˥
īng	iŋ˧
--jing	ʑiŋ˨
jing	ʑiŋ˥
jíng	ʑiŋ˥˧
jìng	ʑiŋ˨˩
jîng	ʑiŋ˧˥
jīng	ʑiŋ˧
--jing	ʑiŋ̍˨
jing	ʑiŋ̍˥
jíng	ʑiŋ̍˥˧
jìng	ʑiŋ̍˨˩
jîng	ʑiŋ̍˧˥
jīng	ʑiŋ̍˧
--sing	ɕiŋ˨
sing	ɕiŋ˥
síng	ɕiŋ˥˧
sìng	ɕiŋ˨˩
sîng	ɕiŋ˧˥
sīng	ɕiŋ˧
--sing	ɕiŋ̍˨
sing	ɕiŋ̍˥
síng	ɕiŋ̍˥˧
sìng	ɕiŋ̍˨˩
sîng	ɕiŋ̍˧˥
sīng	ɕiŋ̍˧
--in	in˨
in	in˥
ín	in˥˧
ìn	in˨˩
în	in˧˥
īn	in˧
--jin	ʑin˨
jin	ʑin˥
jín	ʑin˥˧
jìn	ʑin˨˩
jîn	ʑin˧˥
jīn	ʑin˧
--sin	ɕin˨
sin	ɕin˥
sín	ɕin˥˧
sìn	ɕin˨˩
sîn	ɕin˧˥
sīn	ɕin˧
--jio	ʑio˨
jio	ʑio˥
jió	ʑio˥˧
jiò	ʑio˨˩
jiô	ʑio˧˥
jiō	ʑio˧
--jioo	ʑiɔ˨
jioo	ʑiɔ˥
jióo	ʑiɔ˥˧
jiòo	ʑiɔ˨˩
jiôo	ʑiɔ˧˥
jiōo	ʑiɔ˧
--jionn	ʑiɔ̃˨
jionn	ʑiɔ̃˥
jiónn	ʑiɔ̃˥˧
jiònn	ʑiɔ̃˨˩
jiônn	ʑiɔ̃˧˥
jiōnn	ʑiɔ̃˧
jiok	ʑiɔk˩
jio̍k	ʑiɔk˥
--sio	ɕio˨
sio	ɕio˥
sió	ɕio˥˧
siò	ɕio˨˩
siô	ɕio˧˥
siō	ɕio˧
--sioo	ɕiɔ˨
sioo	ɕiɔ˥
sióo	ɕiɔ˥˧
siòo	ɕiɔ˨˩
siôo	ɕiɔ˧˥
siōo	ɕiɔ˧
--sionn	ɕiɔ̃˨
sionn	ɕiɔ̃˥
siónn	ɕiɔ̃˥˧
siònn	ɕiɔ̃˨˩
siônn	ɕiɔ̃˧˥
siōnn	ɕiɔ̃˧
ip	ip˩
pi̍p	ip˥
jip	ʑip˩
ji̍p	ʑip˥
--si	ɕi˨
si	ɕi˥
sí	ɕi˥˧
sì	ɕi˨˩
sî	ɕi˧˥
sī	ɕi˧
--sir	ɕiɨ˨
sir	ɕiɨ˥
sír	ɕiɨ˥˧
sìr	ɕiɨ˨˩
sîr	ɕiɨ˧˥
sīr	ɕiɨ˧
it	it˩
i̍t	it˥
jit	ʑit˩
ji̍t	ʑit˥
--siuan	ɕiuan˨
siuan	ɕiuan˥
siuán	ɕiuan˥˧
siuàn	ɕiuan˨˩
siuân	ɕiuan˧˥
siuān	ɕiuan˧
--siua	ɕiua˨
siua	ɕiua˥
siuá	ɕiua˥˧
siuà	ɕiua˨˩
siuâ	ɕiua˧˥
siuā	ɕiua˧
--siue	ɕiue˨
siue	ɕiue˥
siué	ɕiue˥˧
siuè	ɕiue˨˩
siuê	ɕiue˧˥
siuē	ɕiue˧
--iu	iu˨
iu	iu˥
iú	iu˥˧
iù	iu˨˩
iû	iu˧˥
iū	iu˧
--iunn	iũ˨
iunn	iũ˥
íúnn	iũ˥˧
ìùnn	iũ˨˩
îûnn	iũ˧˥
īūnn	iũ˧
jiô	ʑiu˧˥
jiō	ʑiu˧
--jiu	ʑiu˨
jiu	ʑiu˥
jiú	ʑiu˥˧
jiù	ʑiu˨˩
jiû	ʑiu˧˥
jiū	ʑiu˧
--jiu	ʑiu˨
jiu	ʑiu˥
jiú	ʑiu˥˧
jiù	ʑiu˨˩
--siu	ɕiu˨
siu	ɕiu˥
siú	ɕiu˥˧
siù	ɕiu˨˩
siû	ɕiu˧˥
siū	ɕiu˧
--jir	ʑɨ˨
jir	ʑɨ˥
jír	ʑɨ˥˧
jìr	ʑɨ˨˩
jîr	ʑɨ˧˥
jīr	ʑɨ˧
--kai	kai˨
kai	kai˥
kái	kai˥˧
kài	kai˨˩
kâi	kai˧˥
kāi	kai˧
--kainn	kaĩ˨
kainn	kaĩ˥
káinn	kaĩ˥˧
kàinn	kaĩ˨˩
kâinn	kaĩ˧˥
kāinn	kaĩ˧
--khai	kʰai˨
khai	kʰai˥
khái	kʰai˥˧
khài	kʰai˨˩
khâi	kʰai˧˥
khāi	kʰai˧
--khainn	kʰaĩ˨
khainn	kʰaĩ˥
kháinn	kʰaĩ˥˧
khàinn	kʰaĩ˨˩
khâinn	kʰaĩ˧˥
khāinn	kʰaĩ˧
kah	kaʔ˩
ka̍h	kaʔ˥
--ka	ka˨
ka	ka˥
ká	ka˥˧
